brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	5.6856523	10.270248413085938
Optibelt	DIN A4 (210 x 297 mm)	rot	25	120	4.492766400000001	3.3074138164520264
Herlitz	unknown	unknown	unknown	unknown	2.8516667	39.71954345703125
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	60	160	23.44985	9.177485466003418
Clairefontaine	DIN A3 (297 x 420 mm)	korallenrot	500	80	10.449167	15.026901245117188
Sigel	unknown	weiss	4	200	3.8133333	16.33385467529297
Clairefontaine	unknown	blau	250	120	5.8547945	11.961060523986816
Xerox	DIN A3 (297 x 420 mm)	unknown	250	120	11.069167	13.56314468383789
UPM	DIN A3 (297 x 420 mm)	weiss	500	75	12.164166999999999	6.829567909240723
Yes	DIN A3 (297 x 420 mm)	weiss	500	80	12.391250999999999	9.163092613220215
Sigel	unknown	weiss	4	260	6.9594119999999995	8.93120002746582
Rainbow	DIN A5 (148 x 210 mm)	blau	200000	80	1272.1844	3.572514295578003
Mondi	DIN A4 (210 x 297 mm)	weiss	250	220	10.498542	10.493977546691895
Mondi	unknown	weiss	125	300	5.193333	12.398503303527832
Schaefer Group	DIN A3 (297 x 420 mm)	weiss	2500	unknown	36.574093	26.526958465576172
Steinbeis Papier	DIN A3 (297 x 420 mm)	unknown	500	80	11.046664999999999	8.663066864013672
Arjowiggins	unknown	rot	100	170	19.250256	9.386550903320312
UPM	DIN A4 (210 x 297 mm)	weiss	500	75	6.6900015	4.647071361541748
Clairefontaine	DIN A3 (297 x 420 mm)	blau	500	80	7.997215299999999	12.184834480285645
Océ	DIN A4 (210 x 297 mm)	weiss	500	100	8.467856	40.47089385986328
Papier Union	unknown	blauviolett	100	120	21.141748	19.4166316986084
Mondi	DIN A4 (210 x 297 mm)	weiss	250	160	7.6410865999999995	10.185446739196777
Xerox	DIN A4 (210 x 297 mm)	weiss	250	170	9.774999000000001	10.109371185302734
Epson	DIN A3 (297 x 420 mm)	weiss	250	103	139.08788	48.40580749511719
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	4.2057459999999995	10.270248413085938
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	3.8095653	7.372062683105469
Xerox	DIN A4 (210 x 297 mm)	weiss	500	80	3.7919843	9.077500343322754
HP	unknown	unknown	unknown	unknown	66.00286	75.08660125732422
Portucel Soporcel	DIN A4 (210 x 297 mm)	weiss	2500	75	8.4897995	16.53988265991211
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	80	4.65375	8.097865104675293
Papier Union	unknown	perlgrau	100	320	67.123215	8.66131591796875
Staufen	DIN A4 (210 x 297 mm)	orange	25	160	1.8760976000000003	1.4910671710968018
Michaelis	DIN A3 (297 x 420 mm)	gruen	500	80	14.45	12.363819122314453
Brunnen Baier & Schneider	DIN A4 (210 x 297 mm)	rot	25	160	3.6408336	2.3007233142852783
Multicopy	unknown	unknown	unknown	unknown	6.673694	9.30070972442627
Staples	DIN A4 (210 x 297 mm)	weiss	500	80	4.853107	266.57598876953125
Papier Union	unknown	rotorange	100	90	2.9515	24.115636825561523
Multicopy	DIN A4 (210 x 297 mm)	weiss	2500	80	14.410001000000001	21.4007625579834
Lyreco	DIN A4 (210 x 297 mm)	unknown	500	80	4.48	6.323648929595947
Michaelis	DIN A3 (297 x 420 mm)	rosa	500	80	14.45	26.342641830444336
Papyrus	DIN A4 (210 x 297 mm)	weiss	5000	80	21.72835	28.68297004699707
Clairefontaine	unknown	rot	500	80	14.228809	13.684209823608398
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	250	120	14.492307	10.233389854431152
Clairefontaine	DIN A4 (210 x 297 mm)	kanariengelb	500	80	18.27746	10.128174781799316
Hansa Papier	DIN A4 (210 x 297 mm)	rot	250	120	7.283603	5.285515308380127
