set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
14233548,146.81198,HP,unknown,hochweiss,unknown,130
13716747,10.629286,Mondi,DIN A3 (297 x 420 mm),blau,500,80
14342665,4.5629377,Papyrus,DIN A4 (210 x 297 mm),hochweiss,500,80
2179436,5.1694922,Clairefontaine,DIN A4 (210 x 297 mm),weiss,125,250
13333973,4.7683325,Clairefontaine,DIN A4 (210 x 297 mm),blau,500,80
2224692,14.499581,Xerox,DIN A3 (297 x 420 mm),weiss,125,210
6344614,6.97,Portucel Soporcel,DIN A4 (210 x 297 mm),weiss,500,90
1042218,6.1277657,Papyrus,DIN A4 (210 x 297 mm),mandarine,500,80
13011092,3.0649998,Papyrus,DIN A4 (210 x 297 mm),weiss,500,80
13924836,13.135048,Clairefontaine,unknown,violett,1250,120
9323296,1.9840002,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),violett,50,80
14913102,23.154997,Clairefontaine,DIN SRA3 (320 x 450 mm),weiss,250,200
2716593,7.24625,Xerox,DIN A4 (210 x 297 mm),weiss,500,90
10457860,18.546667,Multicopy,DIN A3 (297 x 420 mm),weiss,250,160
4202063,6.301199,Sigel,unknown,unknown,18,260
15247949,7.512578,Mondi,DIN A4 (210 x 297 mm),ziegelrot,500,80
7459813,13.857251,Papier Union,unknown,rosa,100,170
9213502,52.13,HP,unknown,weiss,unknown,90
3636664,27.158875,Clairefontaine,unknown,ocker,1250,120
4165440,14.053979,Papyrus,DIN A3 (297 x 420 mm),blau,500,80
1821435,5.190654,Steinbeis Papier,DIN A4 (210 x 297 mm),unknown,500,80
11718733,2.5679998,Papier Union,unknown,californiablau,100,90
10469850,8.257499,Arjowiggins,unknown,gruen,100,170
15502059,14.940001,Mondi,DIN A4 (210 x 297 mm),weiss,250,170
1150826,14.336667,Xerox,DIN A4 (210 x 297 mm),weiss,250,250
12294779,4.8784986,Steinbeis Papier,DIN A4 (210 x 297 mm),rosa,500,80
13534033,8.59,Papyrus,DIN A4 (210 x 297 mm),unknown,500,80
8227507,12.638499,Arjowiggins,unknown,californiablau,100,120
1275620,26.981497,Papier Union,unknown,zitronengelb,100,120
7551228,120.327545,Igepa,unknown,gruen,900,250
14549741,14.90511,Igepa,DIN A3 (297 x 420 mm),weiss,500,100
2532922,11.403955,Papyrus,DIN A4 (210 x 297 mm),blau,250,unknown
4916645,22.013678,Avery Zweckform,DIN A4 (210 x 297 mm),unknown,150,unknown
6733273,11.914,Mondi,DIN A4 (210 x 297 mm),weiss,250,120
13243156,6.9528766,Clairefontaine,DIN A3 (297 x 420 mm),weiss,500,70
10708727,9.544515,Clairefontaine,DIN A3 (297 x 420 mm),elfenbein,250,120
14980734,4.3461375,Staples,DIN A4 (210 x 297 mm),goldgelb,250,120
15350010,76.68,Clairefontaine,DIN A4 (210 x 297 mm),gelb,1000,210
6433447,3.4024112,Steinbeis Papier,DIN A4 (210 x 297 mm),weiss,500,80
762438,4.9548697,Staples,DIN A4 (210 x 297 mm),unknown,250,80
1120191,7.18272,Unbekannt,DIN A4 (210 x 297 mm),eisblau,500,80
13998272,3.3182218,Papyrus,DIN A4 (210 x 297 mm),orange,100,80
5940960,11.627561,Igepa,DIN A4 (210 x 297 mm),gruen,250,190
8227516,12.638499,Arjowiggins,unknown,unknown,100,120
384472,5.9425006,Papyrus,DIN A4 (210 x 297 mm),orange,250,160
6361191,1.8782924,Staufen,DIN A4 (210 x 297 mm),rot,35,120
9652458,12.449964,Papyrus,DIN A3 (297 x 420 mm),lachs,500,80
2383175,13.558549,Papyrus,unknown,weiss,2500,80
14848266,35.505623,Mondi,unknown,weiss,250,200
15517930,11.718922,Mondi,DIN A3 (297 x 420 mm),weiss,250,160
7497281,38.102566,Papier Union,unknown,gruen,100,170
6884171,6.9104767,Mondi,DIN A4 (210 x 297 mm),blau,250,160
13680954,21.876139,Papyrus,DIN A4 (210 x 297 mm),blau,1250,120
7642696,7.0104995,Clairefontaine,DIN A4 (210 x 297 mm),weiss,125,280
12896384,5.8102508,Multicopy,DIN A4 (210 x 297 mm),weiss,500,90
